activityid,age,gender,autosuf,numhouseholdpersons,income,oduden,oempden,ototint,dempden,sovdrivetime,hovdrivetime,tolldrivetime,tollcostsov,tollcosthov2,tollcosthov3,walkttime,walktotransitutility,drivetotransitutility,parkingcost,parkingwalktime,sovcost,hovcost,tollcost,tourpurpose,tourmode,firststop,laststop,zerototalstops,targettripmode
3544882,7,False,2,3,2,19.8041000366211,168.570526123047,13.0,25.3226318359375,21.1612573397185,21.1612573397185,21.1612573397185,0.0,0.0,0.0,57.1873868567459,-999.0,-999.0,0.0,0.0,248.765127373031,248.765127373031,248.765127373031,0,1,True,False,True,1
9763129,4,True,2,4,3,2.13120007514954,8.81844902038574,26.0,445.541687011719,31.3495472488295,31.3495472488295,31.3495472488295,0.0,0.0,0.0,103.647813997812,-999.0,-999.0,0.0,0.0,450.867981005856,450.867981005856,450.867981005856,0,3,False,False,False,1
2565065,7,False,1,2,2,4.86409997940063,16.5928287506104,10.0,9.37936782836914,12.9014772652593,12.9014772652593,12.9014772652593,0.0,0.0,0.0,40.6801327708827,-999.0,-999.0,0.0,0.0,176.95857367378,176.95857367378,176.95857367378,0,1,False,False,False,1
9715085,4,False,1,8,4,6.69409990310669,38.6954040527344,1.0,3.83150315284729,9.44200568452695,9.44200568452695,9.44200568452695,0.0,0.0,0.0,28.5926167247772,-999.0,-999.0,0.0,0.0,124.377880025976,124.377880025976,124.377880025976,0,3,False,False,False,1
8137299,7,False,2,8,2,14.7187995910645,69.0127563476562,3.0,31.7505321502686,33.5365537859411,33.5352793690745,33.5365537859411,0.0,0.0,0.0,118.841295953737,-999.0,-999.0,0.0,0.0,516.959626065169,516.913811851756,516.959626065169,0,1,False,False,True,1
16746776,7,True,1,2,5,10.9865999221802,43.1637916564941,12.0,71.8391876220703,7.21614283222527,7.21614283222527,7.21614283222527,0.0,0.0,0.0,17.4356234986256,-999.0,-999.0,0.0,0.0,75.8449605562306,75.8449605562306,75.8449605562306,7,1,False,False,False,1
3738824,6,True,2,3,1,16.1781997680664,29.156436920166,13.0,507.650848388672,15.7212287990526,15.7212287990526,15.7212287990526,0.0,0.0,0.0,41.2927072422938,-999.0,-999.0,0.0,0.0,179.623272565999,179.623272565999,179.623272565999,0,1,False,False,False,1
381362,6,False,2,4,1,6.91270017623901,29.706506729126,9.0,39.8584518432617,17.0623649618021,17.0623649618021,17.0623649618021,0.0,0.0,0.0,45.5941254028409,-999.0,-999.0,0.0,0.0,198.334441154163,198.334441154163,198.334441154163,0,9,False,False,True,9
14319111,6,False,1,4,1,3.9563000202179,23979.982421875,1.0,8.04128551483154,15.6875282147145,15.6875282147145,15.6875282147145,0.0,0.0,0.0,44.4733785954046,-999.0,-999.0,0.0,0.0,193.459192648698,193.459192648698,193.459192648698,0,1,False,False,True,1
10105308,4,False,1,3,3,7.40290021896362,5.55937528610229,9.0,144.660064697266,9.41928652403038,9.41928652403038,9.41928652403038,0.0,0.0,0.0,26.7763066900203,-999.0,-999.0,0.0,0.0,116.476931548001,116.476931548001,116.476931548001,0,3,True,False,False,3
15474074,4,False,2,6,4,14.4927997589111,30.3743953704834,1.0,64.8581771850586,32.7768256544578,32.7768256544578,32.7768256544578,0.0,0.0,0.0,96.1878715466117,-999.0,-999.0,0.0,0.0,418.417232054571,418.417232054571,418.417232054571,0,3,False,False,False,1
6977672,4,False,1,1,3,15.1709003448486,43.4900169372559,13.0,27.0529727935791,24.8504306502263,24.8504306502263,24.8504306502263,0.0,0.0,0.0,80.3510226668835,-999.0,-999.0,0.0,0.0,349.526940938072,349.526940938072,349.526940938072,0,1,False,False,False,1
12506049,7,True,2,3,1,2.7664999961853,2.01830816268921,15.0,33.6888961791992,10.0363514290771,10.0363514290771,10.0363514290771,0.0,0.0,0.0,32.3884796695437,-999.0,-999.0,0.0,0.0,140.889883473709,140.889883473709,140.889883473709,0,9,False,False,True,9
3643678,6,False,1,3,5,13.6733999252319,11.0568075180054,13.0,251.772644042969,36.8553884035026,36.8553884035026,36.8553884035026,0.0,0.0,0.0,95.2358432397941,-999.0,-999.0,0.0,0.0,414.275909010707,414.275909010707,414.275909010707,0,1,False,False,False,1
